"The labour force among permanent residents aged 18-65 years by time, quarter, district, place of residence, age and gender <em>[ARESTK1]</em> "

"time","district","age","gender","Labour force in average per month","Unemployment in average per month"
"2010","Ilulissat","35-39 years","Women",120,7
"2010","Ilulissat","40-44 years","Men",200,6
"2010","Ilulissat","40-44 years","Women",176,8
"2010","Ilulissat","45-49 years","Men",207,8
"2010","Ilulissat","45-49 years","Women",173,6
"2010","Ilulissat","50-54 years","Men",145,6
"2010","Ilulissat","50-54 years","Women",121,4
"2010","Ilulissat","55-59 years","Men",104,5
"2010","Ilulissat","55-59 years","Women",69,4
"2010","Ilulissat","Over 60 years","Men",66,4
"2010","Ilulissat","Over 60 years","Women",45,2
"2010","Qeqertarsuaq","18-19 years","Men",2,1
"2010","Qeqertarsuaq","18-19 years","Women",5,1
"2010","Qeqertarsuaq","20-24 years","Men",25,6
"2010","Qeqertarsuaq","20-24 years","Women",15,1
"2010","Qeqertarsuaq","25-29 years","Men",15,2
"2010","Qeqertarsuaq","25-29 years","Women",15,2
"2010","Qeqertarsuaq","30-34 years","Men",17,1
"2010","Qeqertarsuaq","30-34 years","Women",21,2
"2010","Qeqertarsuaq","35-39 years","Men",24,2
"2010","Qeqertarsuaq","35-39 years","Women",10,0
"2010","Qeqertarsuaq","40-44 years","Men",21,2
"2010","Qeqertarsuaq","40-44 years","Women",35,2
"2010","Qeqertarsuaq","45-49 years","Men",43,4
"2010","Qeqertarsuaq","45-49 years","Women",33,3
"2010","Qeqertarsuaq","50-54 years","Men",31,2
"2010","Qeqertarsuaq","50-54 years","Women",27,0
"2010","Qeqertarsuaq","55-59 years","Men",16,0
"2010","Qeqertarsuaq","55-59 years","Women",13,1
"2010","Qeqertarsuaq","Over 60 years","Men",15,1
"2010","Qeqertarsuaq","Over 60 years","Women",7,0
"2010","Uummannaq","18-19 years","Men",24,2
"2010","Uummannaq","18-19 years","Women",16,2
"2010","Uummannaq","20-24 years","Men",71,6
"2010","Uummannaq","20-24 years","Women",55,6
"2010","Uummannaq","25-29 years","Men",62,4
"2010","Uummannaq","25-29 years","Women",50,4
"2010","Uummannaq","30-34 years","Men",47,2
"2010","Uummannaq","30-34 years","Women",41,2
"2010","Uummannaq","35-39 years","Men",54,3
"2010","Uummannaq","35-39 years","Women",49,4
"2010","Uummannaq","40-44 years","Men",89,4
"2010","Uummannaq","40-44 years","Women",73,6
"2010","Uummannaq","45-49 years","Men",115,5
"2010","Uummannaq","45-49 years","Women",84,3
"2010","Uummannaq","50-54 years","Men",78,5
"2010","Uummannaq","50-54 years","Women",52,2
"2010","Uummannaq","55-59 years","Men",53,4
"2010","Uummannaq","55-59 years","Women",28,2
"2010","Uummannaq","Over 60 years","Men",36,3
"2010","Uummannaq","Over 60 years","Women",24,1
"2010","Upernavik","18-19 years","Men",34,6
"2010","Upernavik","18-19 years","Women",20,7
"2010","Upernavik","20-24 years","Men",66,7
"2010","Upernavik","20-24 years","Women",49,12
"2010","Upernavik","25-29 years","Men",87,7
"2010","Upernavik","25-29 years","Women",47,6
"2010","Upernavik","30-34 years","Men",73,3
"2010","Upernavik","30-34 years","Women",56,6
"2010","Upernavik","35-39 years","Men",78,5
"2010","Upernavik","35-39 years","Women",60,5
"2010","Upernavik","40-44 years","Men",101,5
"2010","Upernavik","40-44 years","Women",71,5
"2010","Upernavik","45-49 years","Men",107,4
"2010","Upernavik","45-49 years","Women",71,6
"2010","Upernavik","50-54 years","Men",81,5
"2010","Upernavik","50-54 years","Women",45,3
"2010","Upernavik","55-59 years","Men",54,5
"2010","Upernavik","55-59 years","Women",26,1
"2010","Upernavik","Over 60 years","Men",18,0
"2010","Upernavik","Over 60 years","Women",8,1
"2010","Qaanaaq","18-19 years","Men",1,0
"2010","Qaanaaq","18-19 years","Women",5,1
"2010","Qaanaaq","20-24 years","Men",24,4
"2010","Qaanaaq","20-24 years","Women",15,5
"2010","Qaanaaq","25-29 years","Men",21,2
"2010","Qaanaaq","25-29 years","Women",13,4
"2010","Qaanaaq","30-34 years","Men",13,2
"2010","Qaanaaq","30-34 years","Women",9,1
"2010","Qaanaaq","35-39 years","Men",16,2
"2010","Qaanaaq","35-39 years","Women",12,2
"2010","Qaanaaq","40-44 years","Men",24,4
"2010","Qaanaaq","40-44 years","Women",21,3
"2010","Qaanaaq","45-49 years","Men",23,2
"2010","Qaanaaq","45-49 years","Women",27,2
"2010","Qaanaaq","50-54 years","Men",26,1
"2010","Qaanaaq","50-54 years","Women",20,1
"2010","Qaanaaq","55-59 years","Men",9,0
"2010","Qaanaaq","55-59 years","Women",6,0
"2010","Qaanaaq","Over 60 years","Men",10,0
"2010","Qaanaaq","Over 60 years","Women",3,0
"2010","Tasiilaq","18-19 years","Men",13,3
"2010","Tasiilaq","18-19 years","Women",18,6
"2010","Tasiilaq","20-24 years","Men",66,13
"2010","Tasiilaq","20-24 years","Women",54,13
"2010","Tasiilaq","25-29 years","Men",75,15
"2010","Tasiilaq","25-29 years","Women",60,11
"2010","Tasiilaq","30-34 years","Men",64,8
"2010","Tasiilaq","30-34 years","Women",47,7
"2010","Tasiilaq","35-39 years","Men",67,5
"2010","Tasiilaq","35-39 years","Women",45,5
"2010","Tasiilaq","40-44 years","Men",74,6
"2010","Tasiilaq","40-44 years","Women",80,9
"2010","Tasiilaq","45-49 years","Men",78,7
"2010","Tasiilaq","45-49 years","Women",51,5
"2010","Tasiilaq","50-54 years","Men",59,8
"2010","Tasiilaq","50-54 years","Women",50,6
"2010","Tasiilaq","55-59 years","Men",44,3
"2010","Tasiilaq","55-59 years","Women",30,2
"2010","Tasiilaq","Over 60 years","Men",28,0
"2010","Tasiilaq","Over 60 years","Women",15,1
"2010","Ittoqqortoormiit","18-19 years","Men",5,2
"2010","Ittoqqortoormiit","18-19 years","Women",3,0
"2010","Ittoqqortoormiit","20-24 years","Men",17,3
"2010","Ittoqqortoormiit","20-24 years","Women",14,3
"2010","Ittoqqortoormiit","25-29 years","Men",13,3
"2010","Ittoqqortoormiit","25-29 years","Women",11,2
"2010","Ittoqqortoormiit","30-34 years","Men",6,1
"2010","Ittoqqortoormiit","30-34 years","Women",14,2
"2010","Ittoqqortoormiit","35-39 years","Men",14,2
"2010","Ittoqqortoormiit","35-39 years","Women",9,2
"2010","Ittoqqortoormiit","40-44 years","Men",10,3
"2010","Ittoqqortoormiit","40-44 years","Women",11,3
"2010","Ittoqqortoormiit","45-49 years","Men",10,2
"2010","Ittoqqortoormiit","45-49 years","Women",19,2
"2010","Ittoqqortoormiit","50-54 years","Men",18,4
"2010","Ittoqqortoormiit","50-54 years","Women",5,0
"2010","Ittoqqortoormiit","55-59 years","Men",6,1
"2010","Ittoqqortoormiit","55-59 years","Women",3,1
"2010","Ittoqqortoormiit","Over 60 years","Men",5,0
"2010","Ittoqqortoormiit","Over 60 years","Women",3,2
"2011","Nanortalik","18-19 years","Men",21,7
"2011","Nanortalik","18-19 years","Women",13,7
"2011","Nanortalik","20-24 years","Men",46,17
"2011","Nanortalik","20-24 years","Women",41,14
"2011","Nanortalik","25-29 years","Men",50,12
"2011","Nanortalik","25-29 years","Women",40,9
"2011","Nanortalik","30-34 years","Men",42,11
"2011","Nanortalik","30-34 years","Women",42,7
"2011","Nanortalik","35-39 years","Men",42,9
"2011","Nanortalik","35-39 years","Women",28,3
"2011","Nanortalik","40-44 years","Men",46,10
"2011","Nanortalik","40-44 years","Women",48,7
"2011","Nanortalik","45-49 years","Men",61,10
"2011","Nanortalik","45-49 years","Women",64,9
"2011","Nanortalik","50-54 years","Men",62,8
"2011","Nanortalik","50-54 years","Women",39,6
"2011","Nanortalik","55-59 years","Men",53,7
"2011","Nanortalik","55-59 years","Women",24,3
"2011","Nanortalik","Over 60 years","Men",32,6
"2011","Nanortalik","Over 60 years","Women",15,1
"2011","Qaqortoq","18-19 years","Men",26,6
"2011","Qaqortoq","18-19 years","Women",25,3
"2011","Qaqortoq","20-24 years","Men",97,18
"2011","Qaqortoq","20-24 years","Women",94,18
"2011","Qaqortoq","25-29 years","Men",89,13
"2011","Qaqortoq","25-29 years","Women",70,9
"2011","Qaqortoq","30-34 years","Men",74,10
"2011","Qaqortoq","30-34 years","Women",61,8
"2011","Qaqortoq","35-39 years","Men",60,3
"2011","Qaqortoq","35-39 years","Women",61,5
"2011","Qaqortoq","40-44 years","Men",106,15
"2011","Qaqortoq","40-44 years","Women",97,12
"2011","Qaqortoq","45-49 years","Men",138,14
"2011","Qaqortoq","45-49 years","Women",130,9
"2011","Qaqortoq","50-54 years","Men",123,18
"2011","Qaqortoq","50-54 years","Women",102,6
"2011","Qaqortoq","55-59 years","Men",91,10
"2011","Qaqortoq","55-59 years","Women",82,7
"2011","Qaqortoq","Over 60 years","Men",62,6
"2011","Qaqortoq","Over 60 years","Women",34,2
"2011","Narsaq","18-19 years","Men",16,4
"2011","Narsaq","18-19 years","Women",11,2
"2011","Narsaq","20-24 years","Men",47,11
"2011","Narsaq","20-24 years","Women",35,9
"2011","Narsaq","25-29 years","Men",38,5
"2011","Narsaq","25-29 years","Women",39,5
"2011","Narsaq","30-34 years","Men",35,6
"2011","Narsaq","30-34 years","Women",34,4
"2011","Narsaq","35-39 years","Men",26,3
"2011","Narsaq","35-39 years","Women",29,2
"2011","Narsaq","40-44 years","Men",36,6
"2011","Narsaq","40-44 years","Women",48,5
"2011","Narsaq","45-49 years","Men",92,14
"2011","Narsaq","45-49 years","Women",66,7
"2011","Narsaq","50-54 years","Men",73,9
"2011","Narsaq","50-54 years","Women",63,6
"2011","Narsaq","55-59 years","Men",51,8
"2011","Narsaq","55-59 years","Women",42,1
"2011","Narsaq","Over 60 years","Men",44,7
"2011","Narsaq","Over 60 years","Women",22,0
"2011","Ivittuut","18-19 years","Men",0,0
"2011","Ivittuut","18-19 years","Women",0,0
"2011","Ivittuut","20-24 years","Men",4,0
"2011","Ivittuut","20-24 years","Women",1,0
"2011","Ivittuut","25-29 years","Men",8,0
"2011","Ivittuut","25-29 years","Women",1,0
"2011","Ivittuut","30-34 years","Men",8,0
"2011","Ivittuut","30-34 years","Women",4,0
"2011","Ivittuut","35-39 years","Men",12,0
"2011","Ivittuut","35-39 years","Women",3,0
"2011","Ivittuut","40-44 years","Men",11,0
"2011","Ivittuut","40-44 years","Women",3,0
"2011","Ivittuut","45-49 years","Men",11,0
"2011","Ivittuut","45-49 years","Women",0,0
"2011","Ivittuut","50-54 years","Men",10,0
"2011","Ivittuut","50-54 years","Women",0,0
"2011","Ivittuut","55-59 years","Men",7,0
"2011","Ivittuut","55-59 years","Women",1,0
"2011","Ivittuut","Over 60 years","Men",1,0
"2011","Ivittuut","Over 60 years","Women",1,0
"2011","Paamiut","18-19 years","Men",14,5
"2011","Paamiut","18-19 years","Women",8,2
"2011","Paamiut","20-24 years","Men",39,10
"2011","Paamiut","20-24 years","Women",35,7
"2011","Paamiut","25-29 years","Men",43,7
"2011","Paamiut","25-29 years","Women",41,6
"2011","Paamiut","30-34 years","Men",43,7
"2011","Paamiut","30-34 years","Women",25,3
"2011","Paamiut","35-39 years","Men",29,5
"2011","Paamiut","35-39 years","Women",25,3
"2011","Paamiut","40-44 years","Men",51,7
"2011","Paamiut","40-44 years","Women",35,1
"2011","Paamiut","45-49 years","Men",70,15
"2011","Paamiut","45-49 years","Women",49,4
"2011","Paamiut","50-54 years","Men",56,9
"2011","Paamiut","50-54 years","Women",40,5
"2011","Paamiut","55-59 years","Men",51,4
"2011","Paamiut","55-59 years","Women",28,3
"2011","Paamiut","Over 60 years","Men",33,1
"2011","Paamiut","Over 60 years","Women",19,1
"2011","Nuuk","18-19 years","Men",106,11
"2011","Nuuk","18-19 years","Women",104,8
"2011","Nuuk","20-24 years","Men",443,38
"2011","Nuuk","20-24 years","Women",381,30
"2011","Nuuk","25-29 years","Men",449,26
"2011","Nuuk","25-29 years","Women",416,16
"2011","Nuuk","30-34 years","Men",536,24
"2011","Nuuk","30-34 years","Women",499,20
"2011","Nuuk","35-39 years","Men",487,16
"2011","Nuuk","35-39 years","Women",396,18
"2011","Nuuk","40-44 years","Men",571,34
"2011","Nuuk","40-44 years","Women",488,26
"2011","Nuuk","45-49 years","Men",713,45
"2011","Nuuk","45-49 years","Women",660,33
"2011","Nuuk","50-54 years","Men",643,37
"2011","Nuuk","50-54 years","Women",504,25
"2011","Nuuk","55-59 years","Men",439,24
"2011","Nuuk","55-59 years","Women",345,10
"2011","Nuuk","Over 60 years","Men",273,12
"2011","Nuuk","Over 60 years","Women",166,6
"2011","Maniitsoq","18-19 years","Men",38,3
"2011","Maniitsoq","18-19 years","Women",16,4
"2011","Maniitsoq","20-24 years","Men",93,13
"2011","Maniitsoq","20-24 years","Women",65,15
"2011","Maniitsoq","25-29 years","Men",79,7
"2011","Maniitsoq","25-29 years","Women",72,8
"2011","Maniitsoq","30-34 years","Men",90,6
"2011","Maniitsoq","30-34 years","Women",69,10
"2011","Maniitsoq","35-39 years","Men",78,5
"2011","Maniitsoq","35-39 years","Women",55,3
"2011","Maniitsoq","40-44 years","Men",102,10
"2011","Maniitsoq","40-44 years","Women",78,4
"2011","Maniitsoq","45-49 years","Men",136,8
"2011","Maniitsoq","45-49 years","Women",122,6
"2011","Maniitsoq","50-54 years","Men",118,10
"2011","Maniitsoq","50-54 years","Women",104,6
"2011","Maniitsoq","55-59 years","Men",95,4
"2011","Maniitsoq","55-59 years","Women",54,4
"2011","Maniitsoq","Over 60 years","Men",61,2
"2011","Maniitsoq","Over 60 years","Women",45,2
"2011","Sisimiut","18-19 years","Men",58,5
"2011","Sisimiut","18-19 years","Women",63,13
"2011","Sisimiut","20-24 years","Men",199,16
"2011","Sisimiut","20-24 years","Women",162,26
"2011","Sisimiut","25-29 years","Men",183,14
"2011","Sisimiut","25-29 years","Women",135,14
"2011","Sisimiut","30-34 years","Men",143,11
"2011","Sisimiut","30-34 years","Women",131,10
"2011","Sisimiut","35-39 years","Men",135,10
"2011","Sisimiut","35-39 years","Women",138,7
"2011","Sisimiut","40-44 years","Men",252,22
"2011","Sisimiut","40-44 years","Women",202,13
"2011","Sisimiut","45-49 years","Men",224,15
"2011","Sisimiut","45-49 years","Women",227,16
"2011","Sisimiut","50-54 years","Men",222,12
"2011","Sisimiut","50-54 years","Women",173,8
"2011","Sisimiut","55-59 years","Men",153,7
"2011","Sisimiut","55-59 years","Women",107,5
"2011","Sisimiut","Over 60 years","Men",101,5
"2011","Sisimiut","Over 60 years","Women",56,5
"2011","Kangaatsiaq","18-19 years","Men",13,6
"2011","Kangaatsiaq","18-19 years","Women",13,8
"2011","Kangaatsiaq","20-24 years","Men",38,12
"2011","Kangaatsiaq","20-24 years","Women",35,14
"2011","Kangaatsiaq","25-29 years","Men",37,10
"2011","Kangaatsiaq","25-29 years","Women",21,10
"2011","Kangaatsiaq","30-34 years","Men",24,7
"2011","Kangaatsiaq","30-34 years","Women",22,6
"2011","Kangaatsiaq","35-39 years","Men",25,5
"2011","Kangaatsiaq","35-39 years","Women",18,2
"2011","Kangaatsiaq","40-44 years","Men",33,6
"2011","Kangaatsiaq","40-44 years","Women",32,8
"2011","Kangaatsiaq","45-49 years","Men",37,4
"2011","Kangaatsiaq","45-49 years","Women",39,7
"2011","Kangaatsiaq","50-54 years","Men",40,7
"2011","Kangaatsiaq","50-54 years","Women",30,3
"2011","Kangaatsiaq","55-59 years","Men",29,3
"2011","Kangaatsiaq","55-59 years","Women",15,3
"2011","Kangaatsiaq","Over 60 years","Men",8,1
"2011","Kangaatsiaq","Over 60 years","Women",3,0
"2011","Aasiaat","18-19 years","Men",32,2
"2011","Aasiaat","18-19 years","Women",36,5
"2011","Aasiaat","20-24 years","Men",96,8
"2011","Aasiaat","20-24 years","Women",70,10
"2011","Aasiaat","25-29 years","Men",102,12
"2011","Aasiaat","25-29 years","Women",64,12
"2011","Aasiaat","30-34 years","Men",60,5
"2011","Aasiaat","30-34 years","Women",70,11
"2011","Aasiaat","35-39 years","Men",64,4
"2011","Aasiaat","35-39 years","Women",46,6
"2011","Aasiaat","40-44 years","Men",120,14
"2011","Aasiaat","40-44 years","Women",107,11
"2011","Aasiaat","45-49 years","Men",151,16
"2011","Aasiaat","45-49 years","Women",101,8
"2011","Aasiaat","50-54 years","Men",110,8
"2011","Aasiaat","50-54 years","Women",65,4
"2011","Aasiaat","55-59 years","Men",65,4
"2011","Aasiaat","55-59 years","Women",49,2
"2011","Aasiaat","Over 60 years","Men",56,3
"2011","Aasiaat","Over 60 years","Women",34,1
